class_id,class_name,center_x,center_y,center_z,length,width,height,point_count
6,class_6,6182.000000,4044.000000,12.128906,20.000000,12.000000,7.195312,67
6,class_6,6210.000000,4045.000000,11.925781,4.000000,2.000000,1.164062,13
6,class_6,6204.000000,4019.000000,13.453125,8.000000,6.000000,2.828125,11
6,class_6,6162.000000,4040.000000,11.332031,4.000000,8.000000,6.523438,52
6,class_6,6164.000000,4015.000000,11.417969,16.000000,10.000000,4.023438,101
6,class_6,6142.000000,4044.000000,5.269531,12.000000,8.000000,5.101562,164
6,class_6,6112.000000,4064.000000,2.898438,0.000000,4.000000,0.859375,10
6,class_6,6128.000000,4027.000000,10.957031,8.000000,10.000000,5.554688,28
6,class_6,6110.000000,4039.000000,4.099609,4.000000,2.000000,1.714844,12
6,class_6,6100.000000,4194.000000,5.511719,48.000000,44.000000,2.453125,1014
6,class_6,6096.000000,4172.000000,4.937500,16.000000,16.000000,1.578125,173
6,class_6,6058.000000,4200.000000,6.134766,4.000000,8.000000,2.519531,93
6,class_6,6072.000000,4126.000000,4.032227,16.000000,12.000000,3.052734,237
6,class_6,6060.000000,4142.000000,4.333008,8.000000,4.000000,2.341797,69
6,class_6,6044.000000,4158.000000,4.753906,0.000000,4.000000,1.554688,10
6,class_6,6250.000000,4246.000000,9.166016,4.000000,4.000000,2.589844,28
6,class_6,6200.000000,4206.000000,7.753906,8.000000,12.000000,4.351562,40
6,class_6,6110.000000,4246.000000,7.400391,4.000000,4.000000,1.730469,52
6,class_6,6136.000000,4212.000000,6.724609,32.000000,48.000000,4.128906,647
6,class_6,6054.000000,4232.000000,12.117188,4.000000,8.000000,1.265625,27
6,class_6,6070.000000,4216.000000,7.140625,12.000000,8.000000,2.093750,114
6,class_6,6050.000000,4242.000000,8.707031,4.000000,4.000000,3.914062,79
6,class_6,6044.000000,4222.000000,6.068359,0.000000,4.000000,0.785156,11
6,class_6,6222.000000,4174.000000,7.048828,28.000000,20.000000,4.152344,217
6,class_6,6242.000000,4152.000000,7.550781,4.000000,8.000000,2.382812,62
6,class_6,6006.000000,4146.000000,4.267578,12.000000,4.000000,1.308594,23
6,class_6,6066.000000,4100.000000,2.521484,4.000000,0.000000,0.664062,17
6,class_6,6042.000000,4126.000000,3.119141,12.000000,12.000000,1.335938,133
6,class_6,6022.000000,4090.000000,8.964844,4.000000,8.000000,1.617188,24
6,class_6,6044.000000,4079.000000,1.161377,0.000000,2.000000,0.743652,15
6,class_6,6004.000000,4079.000000,3.500000,8.000000,10.000000,2.296875,159
6,class_6,6062.000000,4018.000000,1.659912,4.000000,12.000000,2.766113,124
6,class_6,6072.000000,4011.000000,2.349609,0.000000,6.000000,0.582031,30
6,class_6,6032.000000,4071.000000,1.361328,8.000000,6.000000,1.625000,53
6,class_6,6014.000000,4060.000000,1.914978,20.000000,12.000000,3.486450,231
6,class_6,6000.000000,4065.000000,4.579102,0.000000,2.000000,4.552734,54
6,class_6,6090.000000,4003.000000,4.401367,4.000000,2.000000,1.486328,13
6,class_6,6078.000000,4000.000000,10.652344,4.000000,0.000000,1.179688,73
6,class_6,6062.000000,4002.000000,1.086670,4.000000,4.000000,1.004395,34
6,class_6,6146.000000,4238.000000,7.515625,4.000000,4.000000,2.156250,64
6,class_6,6074.000000,4244.000000,7.671875,4.000000,0.000000,0.437500,14
6,class_6,6060.000000,4250.000000,8.638672,8.000000,4.000000,3.832031,101
6,class_6,6020.000000,4246.000000,9.085938,8.000000,12.000000,4.156250,147
6,class_6,6206.000000,4124.000000,6.291016,12.000000,8.000000,2.503906,83
6,class_6,6160.000000,4160.000000,4.345703,0.000000,0.000000,0.425781,11
6,class_6,6182.000000,4106.000000,5.351562,4.000000,4.000000,0.773438,15
6,class_6,6138.000000,4130.000000,11.941406,4.000000,4.000000,0.945312,14
6,class_6,6248.000000,4220.000000,7.478516,0.000000,8.000000,1.355469,29
6,class_6,6246.000000,4188.000000,8.210938,12.000000,8.000000,4.234375,36
6,class_6,6122.000000,4236.000000,6.533203,4.000000,0.000000,0.488281,10
6,class_6,6096.000000,4228.000000,7.785156,0.000000,0.000000,1.789062,46
6,class_6,6092.000000,4220.000000,6.296875,0.000000,8.000000,0.734375,28
6,class_6,6248.000000,4202.000000,6.859375,8.000000,4.000000,1.070312,20
6,class_6,6170.000000,4156.000000,4.760742,12.000000,8.000000,1.595703,44
6,class_6,6238.000000,4250.000000,6.908203,4.000000,4.000000,1.972656,29
6,class_6,6118.000000,4100.000000,4.813477,4.000000,8.000000,3.794922,13
