instance_id,center_x,center_y,center_z,length,width,height,point_count
237,6160.000000,4210.000000,5.826172,16.000000,20.000000,1.746094,270
238,6146.000000,4230.000000,7.082031,12.000000,20.000000,3.023438,322
239,6134.000000,4244.000000,7.107422,20.000000,16.000000,2.457031,460
240,6222.000000,4246.000000,20.398438,12.000000,12.000000,14.984375,237
241,6042.000000,4222.000000,6.908203,20.000000,20.000000,3.730469,285
242,6116.000000,4103.000000,8.042480,16.000000,18.000000,12.743164,238
243,6042.000000,4132.000000,21.917969,12.000000,8.000000,15.570312,281
244,6054.000000,4140.000000,22.343750,12.000000,8.000000,16.812500,208
245,6058.000000,4104.000000,2.378906,20.000000,16.000000,0.949219,305
246,6220.000000,4081.000000,18.070312,16.000000,22.000000,15.453125,372
247,6004.000000,4112.000000,18.617188,8.000000,16.000000,17.609375,274
248,6088.000000,4242.000000,14.080078,24.000000,20.000000,13.246094,315
249,6150.000000,4045.000000,57.343750,4.000000,2.000000,21.812500,310
250,6066.000000,4033.000000,1.254150,12.000000,18.000000,3.011230,179
251,6088.000000,4150.000000,3.289062,16.000000,12.000000,0.964844,190
252,6158.000000,4043.000000,24.609375,20.000000,10.000000,13.125000,184
253,6182.000000,4052.000000,14.847656,12.000000,20.000000,14.867188,315
254,6102.000000,4075.000000,2.248535,12.000000,18.000000,0.889648,191
255,6118.000000,4090.000000,19.585938,12.000000,20.000000,17.703125,257
256,6150.000000,4046.000000,38.820312,4.000000,4.000000,14.921875,174
257,6044.000000,4198.000000,4.597656,16.000000,20.000000,0.937500,87
258,6092.000000,4038.000000,2.200684,8.000000,24.000000,0.500977,66
259,6084.000000,4134.000000,2.936523,16.000000,12.000000,0.908203,149
260,6098.000000,4130.000000,2.847656,12.000000,20.000000,1.183594,163
261,6086.000000,4070.000000,3.205078,12.000000,20.000000,3.128906,147
262,6012.000000,4095.000000,5.465332,24.000000,18.000000,7.256836,170
263,6190.000000,4172.000000,7.757812,20.000000,24.000000,8.265625,349
264,6070.000000,4170.000000,3.939453,12.000000,20.000000,1.957031,138
265,6100.000000,4057.000000,2.716797,16.000000,18.000000,1.875000,179
266,6054.000000,4116.000000,3.519531,20.000000,16.000000,2.984375,147
267,6074.000000,4154.000000,8.387695,20.000000,20.000000,11.443359,243
268,6238.000000,4011.000000,13.148438,28.000000,22.000000,4.640625,442
269,6054.000000,4067.000000,0.988892,20.000000,22.000000,2.506592,204
270,6034.000000,4108.000000,5.357910,20.000000,16.000000,7.143555,223
271,6078.000000,4108.000000,2.209473,12.000000,16.000000,0.670898,90
272,6012.000000,4040.000000,0.402710,24.000000,28.000000,1.335205,177
273,6100.000000,4097.000000,2.153320,16.000000,22.000000,0.865234,105
274,6050.000000,4005.000000,0.660889,28.000000,10.000000,1.855957,164
275,6082.000000,4086.000000,1.955566,20.000000,16.000000,0.643555,84
276,6094.000000,4114.000000,2.293945,20.000000,20.000000,0.904297,90
277,6080.000000,4097.000000,2.095703,16.000000,14.000000,0.785156,55
278,6012.000000,4003.000000,-0.265137,24.000000,6.000000,0.015137,15
279,6050.000000,4048.000000,0.127319,28.000000,16.000000,0.899658,38
